model,sz,FUNSD_precision,FUNSD_recall,FUNSD_f1,CORD_precision,CORD_recall,CORD_f1
FS,1,22.26$\pm$6.48,37.48$\pm$7.21,27.68$\pm$6.85,33.51$\pm$6.34,43.14$\pm$7.42,37.7$\pm$6.83
Gat-closest-h4-d4,1,28.0$\pm$8.41,33.93$\pm$7.38,30.2$\pm$7.48,36.38$\pm$6.8,45.37$\pm$6.62,40.34$\pm$6.76
Gat-60-angles-h4-d4,1,24.39$\pm$5.94,29.45$\pm$6.91,25.88$\pm$4.98,35.44$\pm$6.46,45.27$\pm$6.71,39.72$\pm$6.63
FS,2,42.64$\pm$5.71,55.9$\pm$7.71,48.14$\pm$5.49,43.12$\pm$5.43,54.39$\pm$4.76,48.07$\pm$5.24
Gat-closest-h4-d4,2,48.68$\pm$6.37,57.42$\pm$9.23,52.36$\pm$6.15,45.31$\pm$6.19,56.13$\pm$4.41,50.09$\pm$5.62
Gat-60-angles-h4-d4,2,45.33$\pm$7.04,56.25$\pm$9.57,49.84$\pm$6.59,44.9$\pm$5.69,56.25$\pm$3.95,49.88$\pm$5.11
FS,3,57.93$\pm$5.18,70.23$\pm$7.22,63.41$\pm$5.63,46.67$\pm$6.13,57.22$\pm$5.18,51.37$\pm$5.81
Gat-closest-h4-d4,3,59.86$\pm$5.26,71.22$\pm$7.56,64.91$\pm$5.43,47.77$\pm$7.25,58.43$\pm$5.69,52.5$\pm$6.73
Gat-60-angles-h4-d4,3,58.24$\pm$5.86,70.37$\pm$8.43,63.59$\pm$6.17,48.05$\pm$7.07,58.28$\pm$5.62,52.61$\pm$6.55
FS,4,63.36$\pm$4.09,76.04$\pm$2.28,69.07$\pm$3.05,49.85$\pm$5.13,60.14$\pm$3.61,54.47$\pm$4.53
Gat-closest-h4-d4,4,65.56$\pm$4.2,76.37$\pm$2.74,70.5$\pm$3.18,52.24$\pm$3.8,61.56$\pm$2.35,56.5$\pm$3.21
Gat-60-angles-h4-d4,4,63.19$\pm$3.81,74.82$\pm$3.53,68.44$\pm$2.99,50.89$\pm$4.23,60.72$\pm$3.19,55.35$\pm$3.79
FS,5,64.91$\pm$5.32,75.48$\pm$2.84,69.71$\pm$3.93,53.29$\pm$3.52,61.74$\pm$2.34,57.19$\pm$2.95
Gat-closest-h4-d4,5,67.54$\pm$3.04,77.47$\pm$1.54,72.13$\pm$2.06,54.63$\pm$2.64,62.87$\pm$1.88,58.44$\pm$2.09
Gat-60-angles-h4-d4,5,68.02$\pm$2.88,78.64$\pm$1.86,72.91$\pm$2.06,53.94$\pm$3.31,62.72$\pm$1.95,57.98$\pm$2.6
FS,6,69.38$\pm$4.84,78.69$\pm$0.99,73.68$\pm$3.11,56.35$\pm$2.71,64.31$\pm$2.33,60.06$\pm$2.53
Gat-closest-h4-d4,6,71.64$\pm$2.47,79.57$\pm$2.54,75.37$\pm$2.19,57.25$\pm$3.91,64.91$\pm$2.47,60.82$\pm$3.2
Gat-60-angles-h4-d4,6,70.94$\pm$3.56,79.42$\pm$2.47,74.92$\pm$2.85,56.57$\pm$3.25,65.02$\pm$2.25,60.49$\pm$2.8
FS,7,71.9$\pm$3.81,80.07$\pm$1.75,75.69$\pm$2.06,57.28$\pm$2.6,64.43$\pm$2.83,60.65$\pm$2.67
Gat-closest-h4-d4,7,72.35$\pm$2.53,79.93$\pm$2.04,75.92$\pm$1.73,58.33$\pm$3.63,65.84$\pm$2.53,61.85$\pm$3.13
Gat-60-angles-h4-d4,7,72.42$\pm$2.58,80.43$\pm$3.04,76.17$\pm$2.2,57.58$\pm$3.14,65.62$\pm$2.23,61.33$\pm$2.76
FS,8,72.91$\pm$2.7,78.93$\pm$2.66,75.79$\pm$2.51,59.78$\pm$3.48,67.42$\pm$2.4,63.36$\pm$2.99
Gat-closest-h4-d4,8,74.76$\pm$1.91,80.48$\pm$2.07,77.49$\pm$1.53,59.1$\pm$3.55,65.96$\pm$1.74,62.32$\pm$2.71
Gat-60-angles-h4-d4,8,73.54$\pm$1.99,80.41$\pm$2.46,76.79$\pm$1.52,59.34$\pm$3.26,66.21$\pm$1.95,62.58$\pm$2.67
FS,9,75.31$\pm$2.55,79.95$\pm$2.04,77.54$\pm$2.02,60.58$\pm$3.64,67.91$\pm$1.97,64.02$\pm$2.91
Gat-closest-h4-d4,9,75.82$\pm$1.29,80.17$\pm$2.31,77.92$\pm$1.54,60.61$\pm$3.2,67.18$\pm$1.68,63.71$\pm$2.49
Gat-60-angles-h4-d4,9,74.58$\pm$1.88,81.39$\pm$1.74,77.82$\pm$1.32,60.96$\pm$3.45,67.33$\pm$1.89,63.97$\pm$2.75
FS,10,74.74$\pm$2.82,79.14$\pm$2.84,76.87$\pm$2.76,61.05$\pm$3.64,67.83$\pm$2.6,64.25$\pm$3.14
Gat-closest-h4-d4,10,75.35$\pm$2.19,81.68$\pm$1.01,78.37$\pm$1.28,61.85$\pm$3.05,67.2$\pm$2.41,64.41$\pm$2.7
Gat-60-angles-h4-d4,10,74.66$\pm$2.76,81.36$\pm$1.1,77.84$\pm$1.63,61.54$\pm$2.45,67.54$\pm$1.54,64.39$\pm$1.99
